postalCode,Population,,,,,,,,
13340,7788,,,,,,,,
13166,5565,,,,,,,,
14712,3483,,,,,,,,
14103,10728,,,,,,,,
12507,200,,,,,,,,
14707,261,,,,,,,,
14478,1535,,,,,,,,
14134,111,,,,,,,,
13080,3997,,,,,,,,
14485,4609,,,,,,,,
14033,2252,,,,,,,,
14551,5693,,,,,,,,
12070,1607,,,,,,,,
14843,13052,,,,,,,,
13815,13896,,,,,,,,
14744,2265,,,,,,,,
13053,4283,,,,,,,,
14411,14493,,,,,,,,
10958,2929,,,,,,,,
14041,295,,,,,,,,
14505,5050,,,,,,,,
12132,235,,,,,,,,
13152,8178,,,,,,,,
12433,493,,,,,,,,
13827,11649,,,,,,,,
13120,2162,,,,,,,,
12035,798,,,,,,,,
12056,2319,,,,,,,,
11939,932,,,,,,,,
14034,3205,,,,,,,,
14543,3174,,,,,,,,
14470,7930,,,,,,,,
12428,6709,,,,,,,,
